16,13,10,4,14,0,3,18,6,2,5,17,9,8,15,1,7,12,11,7,7,5
2,9,4,10,14,8,18,3,15,7,1,12,6,5,11,13,0,17,16,5,9,5
5,7,9,4,14,2,18,0,8,15,10,11,3,1,17,16,13,6,12,7,4,8
17,15,8,3,2,9,0,7,10,16,13,14,1,5,11,12,6,4,18,6,6,7
17,8,18,0,14,10,4,9,3,2,7,16,15,6,1,11,5,13,12,9,5,5
3,0,18,17,15,2,9,14,6,11,10,8,13,5,16,7,12,4,1,4,10,5
17,15,8,18,0,3,14,9,10,13,5,1,12,7,11,6,2,16,4,9,6,4
15,8,18,3,14,1,12,13,7,2,17,9,4,6,5,10,11,16,0,8,7,4
10,14,3,18,15,8,17,2,11,13,6,1,16,4,12,0,7,5,9,8,6,5
15,17,8,18,2,4,9,10,14,12,0,6,13,16,11,3,7,5,1,7,4,8
18,8,3,0,14,9,2,15,17,5,7,11,16,13,6,10,4,1,12,5,9,5
18,8,17,3,0,2,9,7,6,12,10,15,14,11,1,16,13,5,4,5,8,6
15,17,8,3,0,18,14,1,13,4,10,11,6,16,7,5,9,2,12,7,7,5
17,15,18,2,14,4,10,13,12,0,5,3,11,8,9,7,6,16,1,4,8,7
8,17,18,3,2,5,4,14,1,10,16,11,9,6,7,13,0,15,12,5,5,9
18,17,15,3,4,9,2,0,13,5,16,14,8,1,11,10,7,12,6,7,4,8
6,11,10,4,9,3,0,18,13,1,5,15,12,7,17,14,16,2,8,7,7,5
15,17,8,3,18,14,6,11,0,5,16,1,9,4,13,10,7,2,12,9,6,4
18,15,17,0,3,9,4,10,14,7,2,16,6,12,8,5,13,11,1,4,8,7
15,17,8,18,2,9,14,7,11,12,0,3,13,4,10,6,5,16,1,8,6,5
16,13,10,9,14,3,8,1,12,6,4,11,0,15,7,5,18,2,17,9,6,4
17,15,18,9,14,10,11,4,2,7,6,0,3,5,16,8,12,13,1,9,6,4
15,17,18,14,10,7,9,4,3,0,6,2,8,11,13,16,12,5,1,10,5,4
17,18,15,3,14,10,6,12,1,8,4,16,13,2,11,7,9,0,5,9,6,4
15,17,8,14,4,9,2,3,18,5,1,13,6,10,7,0,12,16,11,9,6,4
8,15,18,14,10,6,12,0,3,2,9,13,11,16,4,17,7,1,5,9,6,4
17,15,18,9,7,4,1,14,6,11,5,16,2,10,12,13,0,3,8,10,5,4
17,15,14,10,6,11,13,16,2,1,18,3,4,5,7,12,8,9,0,9,2,8
11,6,14,1,18,8,17,3,15,10,9,0,12,16,7,4,5,13,2,4,8,7
11,14,18,17,8,3,7,9,2,16,4,0,6,10,5,15,1,12,13,9,6,4
14,17,15,3,18,8,9,7,2,10,6,12,1,11,5,13,16,4,0,9,6,4
14,17,15,18,8,3,2,10,9,5,16,0,7,13,1,4,6,11,12,7,5,7
17,15,8,3,18,9,14,10,2,0,16,13,4,6,12,7,1,5,11,9,5,5
17,15,18,8,14,16,6,9,7,5,2,11,0,4,12,10,1,3,13,11,4,4
18,8,15,17,11,6,14,9,2,16,1,7,4,5,13,10,12,3,0,9,6,4
17,15,14,11,13,16,10,18,2,4,9,7,3,0,8,12,6,5,1,9,6,4
12,14,15,18,17,9,2,0,13,16,11,8,4,6,3,5,10,7,1,7,5,7
18,15,8,17,11,12,6,14,2,4,9,0,16,13,10,5,1,3,7,11,4,4
14,18,3,15,17,2,7,11,13,9,4,0,12,6,5,16,1,10,8,6,6,7
8,18,14,10,16,9,17,15,2,3,13,11,1,7,5,6,4,12,0,10,5,4
13,11,10,14,18,17,9,15,0,3,4,12,7,2,5,6,8,16,1,9,5,5
14,8,17,15,18,3,2,10,5,13,0,11,12,4,7,6,16,9,1,7,5,7
17,15,8,18,9,10,13,16,14,2,11,0,5,12,6,7,3,4,1,10,5,4
17,15,18,3,14,10,1,12,11,9,4,5,7,0,13,8,2,16,6,9,6,4
17,15,18,14,11,10,2,13,16,9,8,5,1,12,7,4,6,0,3,7,6,6
11,13,16,14,17,18,2,4,0,3,9,12,5,15,1,7,10,8,6,7,4,8
17,15,18,2,9,10,13,16,14,11,6,12,5,3,1,0,4,8,7,11,4,4
10,9,3,18,8,15,14,0,4,1,7,6,13,12,5,16,11,2,17,8,7,4
17,15,18,2,9,11,16,13,10,12,6,8,0,7,4,14,3,1,5,11,4,4
17,15,18,11,9,14,1,12,6,7,2,13,8,16,0,5,3,10,4,7,4,8
18,15,17,14,9,2,16,3,10,5,8,0,6,7,13,4,12,1,11,6,6,7
