15,17,8,18,3,1,12,6,11,14,0,2,7,5,9,4,10,13,16
16,13,11,6,12,1,0,3,18,8,17,15,2,7,5,9,4,10,14
16,13,11,6,12,1,14,10,4,9,5,7,2,0,3,18,8,17,15
12,1,14,18,8,17,15,3,0,2,7,5,9,4,10,6,11,13,16
16,13,10,11,6,12,1,14,4,9,5,7,2,0,3,18,8,17,15
16,13,11,6,10,4,9,5,7,2,15,17,8,18,3,0,14,1,12
15,17,8,18,3,1,12,6,11,13,16,10,14,0,2,4,9,7,5
6,11,16,13,10,4,9,5,7,2,15,17,8,18,3,0,14,1,12
7,5,16,13,11,6,12,1,8,17,15,18,3,0,2,9,4,10,14
15,17,8,14,1,12,6,11,13,16,10,4,9,5,7,2,0,3,18
7,5,16,13,11,6,10,4,9,2,15,17,8,18,3,0,14,1,12
14,1,12,6,11,13,16,10,4,9,5,7,2,0,3,18,8,17,15
1,12,6,11,13,16,10,5,7,9,4,14,0,2,3,18,8,17,15
15,17,8,18,3,1,12,14,0,2,7,5,9,4,10,6,11,13,16
15,17,8,14,1,12,6,11,13,16,10,4,9,5,7,2,0,3,18
16,13,11,6,10,4,14,12,1,18,8,17,15,3,0,2,9,7,5
12,6,11,13,16,10,4,9,5,7,2,15,17,8,18,3,0,14,1
16,13,11,6,12,1,8,17,15,18,3,2,0,14,10,4,9,7,5
5,7,9,4,10,16,13,11,6,12,1,14,0,2,3,18,8,17,15
16,13,11,6,10,4,9,5,7,2,14,12,1,0,3,18,8,17,15
16,13,10,11,6,12,1,14,18,8,17,15,3,0,2,4,9,7,5
5,7,2,9,4,10,16,13,11,6,12,1,14,0,3,18,8,17,15
16,13,10,11,6,12,1,14,4,9,5,7,2,0,3,18,8,17,15
16,13,11,6,10,4,9,5,7,2,15,17,8,18,3,0,14,1,12
15,17,8,18,14,1,12,6,11,13,16,10,4,9,5,7,2,0,3
15,17,8,18,3,0,14,1,12,6,11,13,16,10,4,9,2,7,5
0,14,1,12,6,11,13,16,10,4,9,5,7,2,3,18,8,17,15
16,13,11,6,10,0,3,15,17,8,18,2,7,5,9,4,14,1,12
4,10,16,13,11,6,12,1,14,9,5,7,2,0,3,18,8,17,15
